"STATION","NAME","DATE","TMAX","TMIN"
"SWE00138886","STOCKHOLM A, SW","2018-10-10","60","57"
"SWE00138886","STOCKHOLM A, SW","2018-10-11","57","49"
"SWE00138886","STOCKHOLM A, SW","2018-10-12","63","48"
"SWE00138886","STOCKHOLM A, SW","2018-10-13","67","50"
"SWE00138886","STOCKHOLM A, SW","2018-10-14","64","52"
"SWE00138886","STOCKHOLM A, SW","2018-10-15","66","51"
"SWE00138886","STOCKHOLM A, SW","2018-10-16","55","49"
"SWE00138886","STOCKHOLM A, SW","2018-10-17","59","49"
"SWE00138886","STOCKHOLM A, SW","2018-10-18","58","49"
"SWE00138886","STOCKHOLM A, SW","2018-10-19","53","41"
"SWE00138886","STOCKHOLM A, SW","2018-10-20","50","43"
"SWE00138886","STOCKHOLM A, SW","2018-10-21","54","39"
"SWE00138886","STOCKHOLM A, SW","2018-10-22","58","47"
"SWE00138886","STOCKHOLM A, SW","2018-10-23","47","40"
"SWE00138886","STOCKHOLM A, SW","2018-10-24","45","36"
"SWE00138886","STOCKHOLM A, SW","2018-10-25","44","38"
"SWE00138886","STOCKHOLM A, SW","2018-10-26","41","33"
"SWE00138886","STOCKHOLM A, SW","2018-10-27","39","32"
"SWE00138886","STOCKHOLM A, SW","2018-10-28","39","32"
"SWE00138886","STOCKHOLM A, SW","2018-10-29","40","31"
"SWE00138886","STOCKHOLM A, SW","2018-10-30","47","38"
"SWE00138886","STOCKHOLM A, SW","2018-10-31","52","47"
"SWE00138886","STOCKHOLM A, SW","2018-11-01","49","43"
"SWE00138886","STOCKHOLM A, SW","2018-11-02","51","46"
"SWE00138886","STOCKHOLM A, SW","2018-11-03","50","44"
"SWE00138886","STOCKHOLM A, SW","2018-11-04","47","40"
"SWE00138886","STOCKHOLM A, SW","2018-11-05","47","39"
"SWE00138886","STOCKHOLM A, SW","2018-11-06","49","46"
"SWE00138886","STOCKHOLM A, SW","2018-11-07","47","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-08","47","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-09","47","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-10","46","44"
"SWE00138886","STOCKHOLM A, SW","2018-11-11","48","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-12","49","44"
"SWE00138886","STOCKHOLM A, SW","2018-11-13","47","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-14","47","45"
"SWE00138886","STOCKHOLM A, SW","2018-11-15","49","42"
"SWE00138886","STOCKHOLM A, SW","2018-11-16","50","44"
"SWE00138886","STOCKHOLM A, SW","2018-11-17","45","42"
"SWE00138886","STOCKHOLM A, SW","2018-11-18","43","38"
"SWE00138886","STOCKHOLM A, SW","2018-11-19","39","34"
"SWE00138886","STOCKHOLM A, SW","2018-11-20","37","32"
"SWE00138886","STOCKHOLM A, SW","2018-11-21","37","30"
"SWE00138886","STOCKHOLM A, SW","2018-11-22","35","29"
"SWE00138886","STOCKHOLM A, SW","2018-11-23","30","25"
"SWE00138886","STOCKHOLM A, SW","2018-11-24","33","26"
"SWE00138886","STOCKHOLM A, SW","2018-11-25","33","27"
"SWE00138886","STOCKHOLM A, SW","2018-11-26","35","29"
"SWE00138886","STOCKHOLM A, SW","2018-11-27","31","24"
"SWE00138886","STOCKHOLM A, SW","2018-11-28","32","23"
"SWE00138886","STOCKHOLM A, SW","2018-11-29","38","31"
"SWE00138886","STOCKHOLM A, SW","2018-11-30","39","36"
"SWE00138886","STOCKHOLM A, SW","2018-12-01","38","35"
"SWE00138886","STOCKHOLM A, SW","2018-12-02","42","38"
"SWE00138886","STOCKHOLM A, SW","2018-12-03","43","40"
"SWE00138886","STOCKHOLM A, SW","2018-12-04","45","36"
"SWE00138886","STOCKHOLM A, SW","2018-12-05","38","31"
"SWE00138886","STOCKHOLM A, SW","2018-12-06","38","31"
"SWE00138886","STOCKHOLM A, SW","2018-12-07","39","33"
